id,date,type,distance,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,average_watts,weighted_average_watts,trainer,gear_id,distance_km,speed_kmh
15924083091,2025-09-24 00:00:00,root='Ride',35285.9,4162,69.0,8.478,116.4,132.0,200.6,203.0,False,b7688713,35.2859,30.5208
15912311625,2025-09-23 00:00:00,root='Ride',50039.8,5430,100.0,9.215,130.8,164.0,236.1,250.0,False,b7688713,50.0398,33.174
15900881540,2025-09-22 00:00:00,root='Run',7663.8,2401,8.0,3.192,134.9,148.0,398.1,390.0,False,g25150502,7.6638,11.491200000000001
15874344551,2025-09-20 00:00:00,root='Ride',100071.0,10943,180.0,9.145,134.6,155.0,228.3,231.0,False,b7688713,100.071,32.922
15872227257,2025-09-19 00:00:00,root='Ride',37017.0,4591,150.0,8.063,136.5,167.0,225.9,235.0,False,b12356755,37.017,29.0268
15856775590,2025-09-18 00:00:00,root='Ride',33037.0,3693,78.0,8.946,129.2,154.0,210.4,220.0,False,b7688713,33.037,32.2056
15797016814,2025-09-13 00:00:00,root='Ride',150290.0,24840,4551.0,6.05,142.0,167.0,227.8,256.0,False,b7688713,150.29,21.78
15782951228,2025-09-12 00:00:00,root='Ride',30822.3,4493,650.0,6.86,138.3,162.0,213.5,243.0,False,b7688713,30.8223,24.696
15738974406,2025-09-08 00:00:00,root='Ride',34246.4,4064,282.0,8.427,128.3,164.0,214.3,261.0,False,b7688713,34.2464,30.3372
15729857556,2025-09-07 00:00:00,root='Ride',109217.0,13757,1945.0,7.939,129.5,167.0,215.1,254.0,False,b7688713,109.217,28.5804
15717890287,2025-09-06 00:00:00,root='Ride',123134.0,15567,2304.0,7.91,137.9,179.0,223.3,264.0,False,b7688713,123.134,28.476000000000003
15706998373,2025-09-05 00:00:00,root='Ride',44132.4,5031,467.0,8.772,131.5,177.0,221.5,264.0,False,b7688713,44.132400000000004,31.5792
15685519937,2025-09-03 00:00:00,root='Run',6053.4,1875,30.0,3.228,135.7,163.0,396.0,375.0,False,g19996876,6.0534,11.620800000000001
