timepoint,time,moving,watts
1158,1291,True,98
1159,1292,True,103
1160,1293,True,112
1161,1294,True,106
1162,1295,True,103
1163,1296,True,94
1164,1297,True,87
1165,1298,True,102
1166,1299,True,105
1167,1300,True,104
1168,1301,True,101
1169,1302,True,101
1170,1303,True,80
1171,1304,True,108
1172,1305,True,106
1173,1306,True,98
1174,1307,True,104
1175,1308,True,113
1176,1309,True,102
1177,1310,True,115
1178,1311,True,132
1179,1312,True,71
1180,1313,True,71
1181,1314,True,0
1182,1315,True,0
1183,1316,True,0
1184,1317,True,0
1185,1318,True,0
1186,1319,True,0
1187,1320,True,0
1188,1321,True,0
1189,1322,True,0
1190,1323,True,0
1191,1324,True,0
1192,1325,True,0
1193,1326,True,31
1194,1327,True,151
1195,1328,True,175
1196,1329,True,198
1197,1330,True,168
1198,1331,True,148
1199,1332,True,127
1200,1333,True,97
1201,1334,True,132
1202,1335,True,173
1203,1336,True,162
1204,1337,True,126
1205,1338,True,112
1206,1339,True,121
1207,1340,True,114
1208,1341,True,103
1209,1342,True,88
1210,1343,True,106
1211,1344,True,113
1212,1345,True,100
1213,1346,True,99
1214,1347,True,95
1215,1348,True,92
1216,1349,True,92
1217,1350,True,88
1218,1351,True,73
1219,1352,True,68
1220,1353,True,70
1221,1354,True,71
1222,1355,True,82
1223,1356,True,88
1224,1357,True,72
1225,1358,True,63
1226,1359,True,69
1227,1360,True,81
1228,1361,True,78
1229,1362,True,63
1230,1363,True,53
1231,1364,True,54
1232,1365,True,64
1233,1366,True,61
1234,1367,True,49
1235,1368,True,27
1236,1369,True,0
1237,1370,True,0
1238,1371,True,0
1239,1372,True,0
1240,1373,True,0
1241,1374,True,0
1242,1375,True,0
1243,1376,True,54
1244,1377,True,156
1245,1378,True,136
1246,1379,True,128
1247,1380,True,129
1248,1381,True,118
1249,1382,True,122
1250,1383,True,145
1251,1384,True,126
1252,1385,True,87
1253,1386,True,87
1254,1387,True,82
1255,1388,True,76
1256,1389,True,64
1257,1390,True,58
1258,1391,True,29
1259,1392,True,0
1260,1393,True,0
1261,1394,True,0
1262,1395,True,0
1263,1396,True,0
1264,1397,True,0
1265,1398,True,0
1266,1399,True,0
1267,1400,True,0
1268,1401,True,0
1269,1402,True,0
1270,1403,True,30
1271,1404,True,90
1272,1405,True,22
1273,1406,True,0
1274,1407,True,0
1275,1408,True,0
1276,1409,True,0
1277,1410,True,0
1278,1411,True,0
1279,1412,True,0
1280,1413,True,0
1281,1414,True,0
1282,1415,True,0
1283,1416,True,0
1284,1417,True,0
1285,1418,True,0
1286,1419,True,0
1287,1420,True,0
1288,1421,False,0
1289,1422,False,0
1290,1423,False,0
1291,1424,False,0
1292,1425,False,0
1293,1426,False,0
1294,1427,True,0
1295,1428,False,0
1296,1429,False,0
1297,1430,False,0
1298,1431,False,0
1299,1432,False,0
1300,1433,False,0
1301,1434,False,0
1302,1435,False,0
1303,1436,False,0
1304,1437,False,0
1305,1438,False,0
1306,1439,False,0
1307,1440,False,0
1308,1441,False,0
1309,1442,False,0
1310,1443,False,0
1311,1444,False,0
1312,1445,False,0
1313,1446,False,0
1314,1447,False,0
